0 25 10 19 1990.06420916
0 25 15 20 1989.36383417
0 25 25 6849 415.00151121
0 25 30 8670 185.011615663
0 25 35 8915 147.789578995
0 25 40 9096 121.924197747
0 50 10 13 3944.30603321
0 50 15 13 3944.30603321
0 50 25 20 3876.15657226
0 50 30 21 3888.00134919
0 50 35 89 3620.27830334
0 50 40 1227 2763.24128672
0 75 10 13 5632.94930244
0 75 15 13 5632.94930244
0 75 25 13 5632.94930244
0 75 30 20 5595.91961239
0 75 35 20 5595.91961239
0 75 40 20 5595.91961239
1 25 10 6 2048.15712956
1 25 15 9 1985.26189375
1 25 25 7239 493.855083812
1 25 30 9403 106.011578336
1 25 35 9645 62.5350112208
1 50 10 5 4014.62975312
1 50 15 6 4004.10534625
1 50 25 7 3918.96491453
1 50 30 11 3859.66893464
1 50 35 86 3636.71393862
1 50 40 1214 3138.2104887
1 75 10 5 5798.79299657
1 75 15 5 5798.79299657
1 75 25 6 5785.90143009
1 75 30 10 5703.01403022
1 75 35 7 5670.03545656
1 75 40 10 5598.86923449
